;PipelineID;Pipeline;Train dataset;Validation dataset;fit_time_cv1;fit_time_cv2;fit_time_cv3;fit_time_cv4;fit_time_cv5;fit_time_mean;score_time_cv1;score_time_cv2;score_time_cv3;score_time_cv4;score_time_cv5;score_time_mean;test_acc_cv1;test_acc_cv2;test_acc_cv3;test_acc_cv4;test_acc_cv5;test_acc_mean;test_prec_cv1;test_prec_cv2;test_prec_cv3;test_prec_cv4;test_prec_cv5;test_prec_mean;test_recall_cv1;test_recall_cv2;test_recall_cv3;test_recall_cv4;test_recall_cv5;test_recall_mean;test_f1-score_cv1;test_f1-score_cv2;test_f1-score_cv3;test_f1-score_cv4;test_f1-score_cv5;test_f1-score_mean;test_tp_cv1;test_tp_cv2;test_tp_cv3;test_tp_cv4;test_tp_cv5;test_tp_mean;test_tn_cv1;test_tn_cv2;test_tn_cv3;test_tn_cv4;test_tn_cv5;test_tn_mean;test_fp_cv1;test_fp_cv2;test_fp_cv3;test_fp_cv4;test_fp_cv5;test_fp_mean;test_fn_cv1;test_fn_cv2;test_fn_cv3;test_fn_cv4;test_fn_cv5;test_fn_mean;acc_overall;prec_overall;recall_overall;f1-score_overall;tp_overall;tn_overall;fp_overall;fn_overall
0;58_Audio;LR_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.012058019638061523;0.010888099670410156;0.012789726257324219;0.01209712028503418;0.013991594314575195;0.012364912033081054;0.0030481815338134766;0.002996206283569336;0.002887725830078125;0.0034067630767822266;0.0032172203063964844;0.0031112194061279296;0.7317073170731707;0.6341463414634146;0.675;0.525;0.6;0.6331707317073171;0.6956521739130435;0.65;0.7333333333333333;0.5294117647058824;0.5909090909090909;0.63986127257227;0.8;0.6190476190476191;0.55;0.45;0.65;0.6138095238095238;0.7441860465116279;0.6341463414634146;0.6285714285714286;0.48648648648648646;0.6190476190476191;0.6224875844161153;16;13;11;9;13;12.4;14;13;16;12;11;13.2;7;7;4;8;9;7.0;4;8;9;11;7;7.8;0.76;0.7407407407407407;0.8;0.7692307692307692;20;18;7;5
0;58_Audio;LR_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.004515886306762695;0.00427699089050293;0.004788637161254883;0.006992340087890625;0.006452322006225586;0.005405235290527344;0.0029125213623046875;0.0029053688049316406;0.0030400753021240234;0.005249977111816406;0.0048809051513671875;0.003797769546508789;0.7804878048780488;0.7804878048780488;0.725;0.75;0.625;0.7321951219512195;0.7037037037037037;0.7727272727272727;0.7647058823529411;0.7272727272727273;0.6190476190476191;0.7174914410208528;0.95;0.8095238095238095;0.65;0.8;0.65;0.7719047619047619;0.8085106382978724;0.7906976744186046;0.7027027027027027;0.761904761904762;0.6341463414634146;0.7395924237574713;19;17;13;16;13;15.6;13;15;16;14;12;14.0;8;5;4;6;8;6.2;1;4;7;4;7;4.6;0.66;0.6538461538461539;0.68;0.6666666666666666;17;16;9;8
0;58_Audio;SVC_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.0041904449462890625;0.005200386047363281;0.0052988529205322266;0.0041961669921875;0.0050280094146728516;0.004782772064208985;0.0034415721893310547;0.00637364387512207;0.005940914154052734;0.004322528839111328;0.005225181579589844;0.005060768127441407;0.6585365853658537;0.6097560975609756;0.65;0.65;0.45;0.603658536585366;0.6071428571428571;0.5862068965517241;0.8;0.625;0.4166666666666667;0.6070032840722496;0.85;0.8095238095238095;0.4;0.75;0.25;0.6119047619047618;0.7083333333333333;0.68;0.5333333333333333;0.6818181818181818;0.3125;0.5831969696969697;17;17;8;15;5;12.4;10;8;18;11;13;12.0;11;12;2;9;7;8.2;3;4;12;5;15;7.8;0.66;0.6052631578947368;0.92;0.7301587301587301;23;10;15;2
0;58_Audio;SVC_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.005246400833129883;0.004912853240966797;0.006071805953979492;0.0053822994232177734;0.005166769027709961;0.005356025695800781;0.0055806636810302734;0.003844738006591797;0.005065441131591797;0.005751609802246094;0.005464315414428711;0.005141353607177735;0.8048780487804879;0.7317073170731707;0.75;0.725;0.65;0.7323170731707317;0.7307692307692307;0.7272727272727273;0.75;0.6956521739130435;0.6153846153846154;0.7038157494679234;0.95;0.7619047619047619;0.75;0.8;0.8;0.8123809523809523;0.8260869565217392;0.7441860465116279;0.75;0.7441860465116279;0.6956521739130435;0.7520222446916077;19;16;15;16;16;16.4;14;14;15;13;10;13.2;7;6;5;7;10;7.0;1;5;5;4;4;3.8;0.7;0.6785714285714286;0.76;0.7169811320754718;19;16;9;6
0;58_Audio;KNN_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.0007252693176269531;0.0010519027709960938;0.0011916160583496094;0.0008778572082519531;0.0007441043853759766;0.0009181499481201172;0.023724794387817383;0.020048141479492188;0.021944522857666016;0.025208711624145508;0.019464969635009766;0.022078227996826173;0.5365853658536586;0.5609756097560976;0.525;0.65;0.625;0.5795121951219512;0.5263157894736842;0.5789473684210527;0.5454545454545454;0.875;0.7272727272727273;0.650598086124402;0.5;0.5238095238095238;0.3;0.35;0.4;0.4147619047619047;0.5128205128205129;0.5500000000000002;0.3870967741935483;0.4999999999999999;0.5161290322580645;0.4932092638544251;10;11;6;7;8;8.4;12;12;15;19;17;15.0;9;8;5;1;3;5.2;10;10;14;13;12;11.8;0.56;0.5714285714285714;0.48;0.5217391304347826;12;16;9;13
0;58_Audio;KNN_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.0008258819580078125;0.0007874965667724609;0.00087738037109375;0.0011076927185058594;0.0007543563842773438;0.0008705615997314453;0.014644622802734375;0.017261981964111328;0.014185667037963867;0.0228731632232666;0.01457357406616211;0.016707801818847658;0.6585365853658537;0.6585365853658537;0.85;0.8;0.6;0.7134146341463414;0.5882352941176471;0.6060606060606061;0.85;0.7307692307692307;0.5714285714285714;0.6692987404752111;1.0;0.9523809523809523;0.85;0.95;0.8;0.9104761904761904;0.7407407407407407;0.7407407407407407;0.85;0.8260869565217392;0.6666666666666666;0.7648470209339775;20;20;17;19;16;18.4;7;7;17;13;8;10.4;14;13;3;7;12;9.8;0;1;3;1;4;1.8;0.7;0.631578947368421;0.96;0.7619047619047619;24;11;14;1
0;58_Audio;RandomForestClassifier_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.21366667747497559;0.22319340705871582;0.2192842960357666;0.2154238224029541;0.20283126831054688;0.2148798942565918;0.022383928298950195;0.018797874450683594;0.02124309539794922;0.021716833114624023;0.023501873016357422;0.02152872085571289;0.6097560975609756;0.6341463414634146;0.6;0.65;0.675;0.6337804878048781;0.5833333333333334;0.6875;0.6428571428571429;0.6875;0.6666666666666666;0.6535714285714286;0.7;0.5238095238095238;0.45;0.55;0.7;0.5847619047619048;0.6363636363636365;0.5945945945945946;0.5294117647058824;0.6111111111111112;0.6829268292682926;0.6108815872087033;14;11;9;11;14;11.8;11;15;15;15;13;13.8;10;5;5;5;7;6.4;6;10;11;9;6;8.4;0.76;0.7241379310344828;0.84;0.7777777777777777;21;17;8;4
0;58_Audio;RandomForestClassifier_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.18532609939575195;0.19285273551940918;0.20717167854309082;0.2136523723602295;0.20128464698791504;0.2000575065612793;0.024636030197143555;0.022669553756713867;0.026329994201660156;0.0227813720703125;0.022745609283447266;0.02383251190185547;0.7317073170731707;0.8048780487804879;0.8;0.725;0.675;0.7473170731707318;0.68;0.8421052631578947;0.8333333333333334;0.7142857142857143;0.6666666666666666;0.7472781954887219;0.85;0.7619047619047619;0.75;0.75;0.7;0.7623809523809524;0.7555555555555556;0.8;0.7894736842105262;0.7317073170731706;0.6829268292682926;0.7519326772215089;17;16;15;15;14;15.4;13;17;17;14;13;14.8;8;3;3;6;7;5.4;3;5;5;5;6;4.8;0.64;0.64;0.64;0.64;16;16;9;9
0;58_Audio;SGDClassifier_Count_Vectors_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.007647514343261719;0.007283210754394531;0.007193803787231445;0.008626699447631836;0.007123708724975586;0.007574987411499023;0.00496363639831543;0.005793333053588867;0.0051534175872802734;0.002900838851928711;0.004523038864135742;0.004666852951049805;0.6829268292682927;0.6097560975609756;0.7;0.6;0.475;0.6135365853658536;0.64;0.6190476190476191;0.7;0.6428571428571429;0.4827586206896552;0.6169326765188835;0.8;0.6190476190476191;0.7;0.45;0.7;0.6538095238095238;0.7111111111111111;0.6190476190476191;0.7;0.5294117647058824;0.5714285714285714;0.6261998132586367;16;13;14;9;14;13.2;12;12;14;15;5;11.6;9;8;6;5;15;8.6;4;8;6;11;6;7.0;0.78;0.75;0.84;0.7924528301886793;21;18;7;4
0;58_Audio;SGDClassifier_TFIDF_RandomUnder;somef_data_train.csv;somef_data_test.csv;0.006449222564697266;0.00665736198425293;0.0051457881927490234;0.006568193435668945;0.00664067268371582;0.0062922477722167965;0.005776405334472656;0.005248069763183594;0.0027112960815429688;0.005034923553466797;0.0047113895416259766;0.004696416854858399;0.8048780487804879;0.7560975609756098;0.8;0.575;0.65;0.7171951219512196;0.8333333333333334;0.7619047619047619;0.8333333333333334;0.5652173913043478;0.6153846153846154;0.7218346870520784;0.75;0.7619047619047619;0.75;0.65;0.8;0.7423809523809524;0.7894736842105262;0.7619047619047619;0.7894736842105262;0.6046511627906976;0.6956521739130435;0.7282310934059111;15;16;15;13;16;15.0;18;15;17;10;10;14.0;3;5;3;10;10;6.2;5;5;5;7;4;5.2;0.62;0.6363636363636364;0.56;0.5957446808510639;14;17;8;11
